번호,Name,Keyword,Main Text,Flavor Text,Flavor Text Name,이름,키워드,메인 텍스트,플레이버 텍스트,플레이버 텍스트 이름
46,"Yer a Princess, Harry!","Gender, Keyword & Race Change","When you attach this card to the grid, you may choose one Pony card attached to this Ship. Until the end of your turn, that Pony card becomes a {female} {alicorn} and gains the Princess keyword. This cannot affect Ponies with the Changeling keyword.","Braeburn, like all Apples, was a pony of practicality, and while he could think of a number of advantages to his situation, none of them seemed to outweigh the impact on his wardrobe.",The Night Improbable,"넌 공주란다, 해리!","성별, 종족, 키워드 변경","이 카드를 필드에 낼 때, 이 커플링과 연결된 포니 카드 1장을 선택할 수 있습니다. 차례가 끝날 때까지, 그 카드는 {female} {alicorn}으로 간주되며 ""공주"" 키워드를 가집니다. 이 카드는 체인질링에게는 효과를 줄 수 없습니다.","브레이번은 다른 애플 가문 사람들과 마찬가지로 현실적인 포니였다. 지금 상황에서 그가 가진 이점들을 하나씩 생각해 보았지만, 그 어떤 것도 그의 옷장에 가해질 변화의 충격을 넘어서진 못했다.",별난 밤
47,Cutie Mark Crusaders: Matchmakers!,,,I. Am never. Ever. Loaning them a potion book again. EVER.,"Twilight's Secret Diary, Volume XXXII","큐티 마크 크루세이더:
인연 맺어주기!",,,두 번 다시 걔네들한테 마법약 책 빌려 주나 봐라. 절대로.,"트와일라잇의 비밀 일기, 32권"
48,Fillyhood Crush,,,"And in that chunk of impenetrable granite, words have stood the test of time. Words that speak volumes to an uncaring, soulless universe that will never fully comprehend the joy two young foals can bring each other. Those words are: Celestia + Starswirl 4EVA",An Eternity In Your Eyes,어린 시절 첫사랑,,,"그 어떤 것도 견뎌내는 화강암 위에 새겨진 말은 세월의 시험을 능히 견딘다. 저 무정한 목석 같은 세상은 두 어린아이가 장난삼아 끄적인 말 속의 기쁨을 결코 완전히 이해하지 못하리라. 그 말을 여기에 옮겨둔다. ""셀레스티아 + 스타스월 0원히""",네 눈 속 영원
49,Crossover Fic!,Play From Discard,"You may choose to play the top card of the Pony discard pile with this Ship, rather than play a Pony card from your hand.","""Back off!"" The dark-garbed Shadowbolts tugged on the delicate yellow mare, bodily shoving her away from the Auroch High School Host Club. ""We can't lose the key to our power!""",A Fatal Decision,크로스오버!,버린 카드 내기,{play from discard},"""그만 둬!"" 검은 옷을 두른 섀도우볼츠 단원들이 여리여리해 보이는 노란 솜털의 여자를 홱 잡아당겨 몸으로 밀쳐내며 오록스고교 사교클럽 무리에게서 멀리 떨어뜨렸다. ""우리 힘의 원천을 벌써부터 잃을 수는 없어!""",치명적인 판단
50,Bad Pony! Go to My Room!,Play From Discard,"You may choose to play the top card of the Pony discard pile with this Ship, rather than play a Pony card from your hand.",Applejack had no reason to do as Twilight said. There was no spell compelling her to listen to the command. And yet she turned and started walking anyway.,Take What You Want,나쁜 애한테는 벌을 줘야겠지?,버린 카드 내기,{play from discard},"애플잭은 트와일라잇이 하라는 대로 할 이유가 없었다. 명령을 듣도록 강요하는 주문도 없었다. 그럼에도 불구하고, 애플잭은 몸을 돌려 걷기 시작했다.",하고 싶은 대로
51,Life-Threatening Illness,,,"""Listen closely, Bulk Biceps,"" Iron Will said, blinking back tears, ""when the bug tries to block-"" a hoof squeezed at his hand. Bulk Biceps's eyes opened. ""Show em… you rock,"" he whispered.",Snow Falling on Minotaurs,시한부,,,"""듣고 있나, 벌크 바이셉스."" 아이언 윌이 눈을 깜박이며 눈물을 참았다. ""누군가 네 앞을 가로막는다면..."" 그의 발굽이 아이언 윌의 손을 꽉 쥐었다. 벌크 바이셉스가 눈을 떴다. ""본때를... 보여줘라."" 그가 속삭였다.",미노타우르스에 내리는 눈
52,Worldwide Threat of Destruction,,,"""Apoca… what's the plural form of apocalypse?""",The Faceless Butterfly,세계 파멸의 위협,,,"""세상의 종말들…… 가만, 종말'들'이라는 말이 적절한가?""",얼굴 없는 나비
53,Closed Door Negotiations,,,"Her blue zircon eyes flashed dangerously against her white alabaster coat, the clanging clap of jonquil horseshoes on stone ringing down the olivine corridor. ""You're lying to me,"" she growled, her voice rich like mahogany, sharp like a glinting knife. She threw the offering across the table, startling her nervous visitors and gallant wardens alike as sparkling gems painted a clattering, glistening rainbow on the swirled marble surface. ""These are HELIOTROPE, not BERMUDA BLUE!!!"" she screeched, ire rising like so much ruby bile. And just like that… the war began.","Of Ponies And Peril, Chapter 18",비밀 협상,,,"지르콘을 닮은 그녀의 새파란 눈에 섬뜩한 눈빛이 번득이며, 설화석고와 같은 솜털 위로 부딪쳤다. 연한 황색을 띤 편자가 바닥돌을 내리치며 솟구친 소리가 감람석 회랑을 타고 메아리쳤다. ""거짓을 고하느냐."" 그녀의 목소리는 마호가니 목처럼 아름다웠지만, 시퍼렇게 날이 선 칼날처럼 날카로웠다. 그녀는 테이블 반대쪽으로 제물을 내던졌다. 두려움에 떠는 손님들과 용감한 호위병들 모두 깜짝 놀라 몸을 떨었고, 반짝이는 보석들은 달가닥거리며 대리석 위에 빛나는 무지개를 그려 놓았다. ""이는 헬리오트로프색이지, 버뮤다 블루가 아니지 않느냐!!!"" 그녀가 호통쳤다. 루비처럼 붉은 분노가 솟구쳐 올랐다. 그와 동시에… 전쟁이 시작되었다.","포니와 위기, 18장"
54,They Fight Crime,,,"He's a cosmopolitan stallion who's broken as many mares' hearts as he has bad guys' faces. His sidekick is a country-grown colt with a pure, naive soul and the determination to make the world a better place. Together they are… The Trottingham Shadows!",In The Dark of Twilight,자경단,,,"사내를 말할 것 같으면, 수많은 여인네들의 애간장을 녹인 만큼이나 많은 간악한 악인들의 면상을 작살낸 세계적 인물이라 할 것이며, 그의 곁에는 세상을 더욱 살기 좋은 곳으로 만들겠다는 결심을 한 순박하고 어리숙한 시골 청년이 항상 함께하니, 이 둘이야말로… 트로팅엄의 그림자라 할 것이다!",황혼의 어둠 속에서
55,From an Alternate Dimension,Timeline Change,"When you attach this card to the grid, you may choose one Pony card attached to this Ship. Until the end of your turn, that Pony's timeline changes to {Dystopia}.","General Moon looked herself up and down, raising a judgmental eyebrow. ""Hmmm… I guess you'll have to do. Come. We have… THINGS to accomplish.""",Night Terrors 2: Dead Scared,다른 차원으로부터,타임라인 변경,{timeline change},"문 사령관은 상대를 위아래로 슥 훑어보더니, 눈썹을 치켜 올리며 말했다. ""흠… 자네 정도면 쓸만하겠군. 따라오도록. 몇 가지… 해야 할 일이 있다네.""",밤의 공포 2: 죽음의 두려움
