번호,Name,Keyword,Main Text,Flavor Text,Flavor Text Name,이름,키워드,메인 텍스트,플레이버 텍스트,플레이버 텍스트 이름
10,Druid Fluttershy,"Fluttershy, Mane 6","Isn't Nature Fascinating? (Replace): While this card is in your hand, you may discard a Pony card from the gird and play this card in its place. This power cannot be copied.","Caramel had no idea that fuzzy bunnies could be so strong as they threw him at the mercy of their fluttery overlord. The buttery mare smiled serenely, one hoof stroking the head of Hairy the Bear, her most trusted compatriot. ""Hello,"" she said soothingly. ""Aren't you a pretty morsel?""",The Forest Has Eyes,드루이드 플러터샤이,"메인 6, 플러터샤이",자연은 멋지지 않나요? {replace},"캐러멜은 한낱 복실복실한 토끼들이 그들의 날개 달린 주인의 명령 아래 그를 내던질 정도로 힘이 셀 줄은 미처 몰랐다. 그 버터빛 암말은 빙긋이 웃더니, 옆에 있던 믿음직한 동료인 곰의 머리를 쓰다듬었다. ""안녕,"" 그녀가 달래듯 말했다. ""넌 참 귀여운 먹잇감이구나, 그치?""",숲은 지켜본다
11,Cult Leader Fluttershy,"Fluttershy, Mane 6, Villain","Sacrifice (Replace): While this card is in your hand, you may discard a Pony card from the gird and play this card in its place. This power cannot be copied.","The hooded pony coughed politely. ""Oh, um, please, if you could just, um, repeat the mantra, I… *squeak* … can summon Huggoth. Please and thank you.""",The Faceless Butterfly,사이비 교주 플러터샤이,"메인 6, 플러터샤이, 빌런",인신공양 {replace},"두건을 쓴 포니가 점잖게 헛기침하고 말했다. ""아, 음, 그게, 혹시 가능하다면, 그, 저기, 주문을 계속 읊어주셔야, 제가… 휴고스님을 현세로 모셔올 수 있어서요. 부탁할게요. 고마워요.""",얼굴 없는 나비
12,Moe Fluttershy,"Fluttershy, Mane 6",Transfer Student (Swap): You may swap 2 Pony cards on the shipping grid.,"""O…oh, sempai,"" Fluttershy stammered. ""I d…didn't even know you knew my name…""","Cherry Blossoms Underhoof, Chapter 1",모에 플러터샤이,"메인 6, 플러터샤이",전학생 {swap},"""어… 어, 선배님."" 플러터샤이가 말을 더듬었다. ""선배님이 제… 이름을 알고 계실 줄은 몰랐어요…""","벚꽃 나무 아래서, 1장"
13,Pinkamena,"Mane 6, Pinkie Pie","It Puts the Frosting on Its Skin (Special): While this card is in your hand, you may discard a Pony card from the grid and play this card in its place. If you do this, discard another Pony card from the grid as well. This power cannot be copied.","""I've made a party for you!"" Pinkie said as her eyes widened bigger and bigger! ""A party… OF DEATH!!""","Blood Becomes Her, Chapter 3",핑카미나,"메인 6, 핑키 파이","껍질에 프로스팅 (특수): 이 카드가 패에 있는 경우, 필드에서 포니 카드 1장을 버리고 그 자리에 이 카드를 낼 수 있습니다. 이 능력을 발동한 경우, 필드 위의 다른 포니 카드 1장을 버립니다. 이 능력은 복사할 수 없습니다.","""너를 위해 파티를 열었어!"" 핑키가 눈을 더욱 크게 뜨며 말했다. ""무슨 파티냐면… 죽음의 파티를!!""","그녀의 피가 되어, 3장"
14,Gypsy Witch Pinkie Pie,"Mane 6, Pinkie Pie","Bake a Portal (Special): You may draw 3 cards from the Ship and/or Pony decks, then discard 2 cards.","The tent reeked of incense, cardamom, cinnamon, and just a dash of chocolate icing.","Of Ponies and Peril, Prologue",집시 마녀 핑키 파이,"메인 6, 핑키 파이",포탈을 굽자 (특수): 커플링 카드 또는 포니 카드 덱에서 도합 3장을 뽑을 수 있습니다. 그리고 뽑은 카드 중 2장을 버립니다.,"천막에서 피워 놓은 향과 카르다몸, 계피와 초콜릿 아이싱이 뒤섞인 지독한 냄새가 흘러나왔다.","포니와 위기, 프롤로그"
15,Freedom Fighter Pinkie Pie,"Mane 6, Pinkie Pie","Revolution! (Special): You may search the Ship and/or Pony discard piles for up to 2 cards of your choice and put them into your hand. If any of those cards are still in your hand at the end of your turn, discard them.","""I see you there, Empress! Can you hear it? Can you hear the ponies singing for the revolution? Singing for your DOOM?!""","Of Ponies and Peril, Chapter 34",자유의 투사 핑키 파이,"메인 6, 핑키 파이",혁명이다! (특수): 버린 커플링 카드나 포니 카드 더미에서 도합 카드 2장을 골라 패로 가져올 수 있습니다. 차례가 끝날 때 그 카드가 패에 있으면 버립니다.,"""거기 있었구나, 여제! 들리느냐? 혁명을 부르는 민중의 노래가? 네 파멸을 노래하는 것이?!""","포니와 위기, 34장"
16,Cider Season Applejack,"Apple, Applejack, Mane 6",Two Bits For a Barrel (Draw): You may draw 1 card from the Ship or Pony deck.,"Applejack stared into the empty cider bottle, that last glisten of golden drink taunting her. Reminding her of everything she wanted but couldn't achieve.",When Love Hurts,사이다 시즌 애플잭,"메인 6, 애플잭, 애플 가족",한 배럴에 2 비츠 {draw},"애플잭이 빈 사이다 병을 들여다보았다. 병 바닥에 고인 마지막 황금빛 한 방울이 그녀를 도발하고 있었다. 그동안 그녀가 바라왔지만, 끝내 얻지 못했던 것들처럼.",사랑이 고통스러울 때
17,Sharpshooter Applejack,"Apple, Applejack, Mane 6","Hit List (Replace): While this card is in your hand, you may discard a Pony card from the gird and play this card in its place. This power cannot be copied.","""That's right, sugarcube,"" whispered Applejack as she trained her magic-powered pistol on Trixie's forehead. ""I hope y'like lead in yer brainplate…""","Of Ponies and Peril, Chapter 12",명사수 애플잭,"메인 6, 애플잭, 애플 가족",암살 목록 {replace},"""그기 맞다, 얼라야."" 애플잭은 트릭시의 이마에 마법 작동식 권총을 겨누며 속삭였다. ""대가리에 납탄 꽂히는 것도 즐겼으면 좋겠데이…""","포니와 위기, 12장"
18,"Applejack: the Cutest, Smartest, All-Around-Best Background Pony","Apple, Applejack, Mane 6",Another Derpy Episode (Swap): You may swap 2 Pony cards on the shipping grid.,"The day was saved again, by Twilight and all her best friends: Fluttershy, Rainbow Dash, Pinkie Pie, and Rarity!",The Gang's All Here,"애플잭: 가장 귀엽고, 가장 똑똑한,
완전무결 배경 포니","메인 6, 애플잭, 애플 가족",또 더피 에피소드 {swap},"하루가 또 무사히 넘어갔습니다. 이 모든 게 트와일라잇과 그녀의 가장 친한 친구들, 플러터샤이, 레인보우 대쉬, 핑키 파이, 그리고 래리티 덕분이죠!",친구들 모두 모였다
19,Princess Celestia,"Celestia, Elder, Princess","Chessmaster (Search): You may search the Ship or Pony discard pile for 1 card of your choice and put it into your hand. If it's still in your hand at the end of your turn, discard it.","The beautiful princess shimmered in her daytime, like a song from a heavenly flute. She always took a special joy in seeing her favorite, cutest student.","Magical Makeover, Chapter 1",셀레스티아 공주,"공주, 셀레스티아, 원로",체스마스터 {search},아름다운 공주는 그녀의 햇살 아래에서 마치 천상의 피리 소리처럼 아른거렸다. 그녀는 자신의 가장 소중하고 귀여운 학생을 볼 때마다 언제나 각별한 기쁨을 느꼈다.,"마법같은 단장, 1장"
20,Mortal Celestia,"Celestia, Elder, Princess","Plans Unravel (Replace): While this card is in your hand, you may discard a Pony card from the gird and play this card in its place. This power cannot be copied.","""No… NO!"" cried Celestia as she looked down … no … UP at Rarity. ""You wouldn't…!"" Rarity laughed coldly. ""Ah, but I already have. Farewell … your highness."" Her laughter echoed through the dungeon. Celestia was powerless to stop it.","Of Ponies and Peril, Chapter 1",필멸자 셀레스티아,"공주, 셀레스티아, 원로",드러난 계획 {replace},"""아니 된다… 이럴 수는 없느니라!"" 셀레스티아가 래리티를 내려다보며… 아니, 올려다보며 울부짖었다. ""네가 어찌 감히…!"" 래리티가 차갑게 웃더니 대답했다. ""아, 이미 일어나버린 일입니다. 작별 인사 드리지요… 공주 전하."" 그녀의 웃음소리가 지하 감옥을 가득 채우며 메아리쳤다. 셀레스티아는 그조차 어찌할 수 없을 정도로 무력했다.","포니와 위기, 1장"
21,Princess Luna,"Elder, Luna, Princess",The Princess Demands It (Swap): You may swap 2 Pony cards on the shipping grid.,"""DO YOU FEAR US?"" shouted the princess at Berry Punch. She took a step closer. ""DO YOU FEAR… OUR LOVE?""",Night Terrors,루나 공주,"공주, 루나, 원로",공주가 명하노라 {swap},"""짐이 두려운가?"" 공주가 베리 펀치에게 소리쳐 물었다. 그녀가 한 걸음 다가섰다. ""짐과의 사랑이… 두려운가?""",밤의 공포
22,Nightmare Moon,"Elder, Luna, Princess, Villain","Nefarious Plans (Replace): While this card is in your hand, you may discard a Pony card from the gird and play this card in its place. This power cannot be copied.","""The Night seethes with lust!"" announced Nightmare Moon as she advanced on the drunk mare. ""Has not our metamorphosis changed your mind? ARE YOU NOT EVEN MORE IMPRESSED?""",Night Terrors,나이트메어 문,"공주, 루나, 원로, 빌런",사악한 계획 {replace},"""밤은 욕망으로 들끓을 것이다!"" 그렇게 선포한 나이트메어 문은 고주망태가 된 암말을 향해 다가갔다. ""짐의 바뀐 형상이 그대의 마음도 바꿨는가? 적어도 깜짝 놀라는 정도의 표시는 해야 하는 것 아니더냐?""",밤의 공포
23,Big Macintosh,Apple,Bumper Crop (Draw): You may draw 1 card from the Ship or Pony deck.,"As he looked into her eyes, he knew that he would love her deeply for all time, to the ends of the known universe. He could swim in those eyes for hours, bathe in their luminescence. His heart swelled, thoughts skittering across his mind for an eternal, soul-warming moment. ""Eeyup,"" he said.",Flutter On My Wayward Foal,빅 매킨토시,애플 가족,풍년 {draw},"그녀의 두 눈을 들여다보면서, 빅 매킨토시는 자신이 그녀를 평생 동안, 우주가 그 끝을 맞이할 때까지 사랑하게 될 것을 알게 되었다. 그녀의 두 눈에서 반짝이는 눈빛으로 몸을 적시고, 몇 시간이라도 그 두 눈을 바라볼 수도 있었다. 가슴이 두근거렸고, 영혼까지 따뜻해지는 그 찰나의 시간이 영겁의 세월이 되기라도 한 듯 머릿속에 오만 생각들이 떠올랐다. ""그려."" 그는 말했다.",고집불통 꼬마에게 반하다
24,Braeburn,Apple,Welcome to AAAAAAPPLELOOSA! (Draw): You may draw 1 card from the Ship or Pony deck.,"His sweet tenor voice cut through the desert air like an eagle's screech, only more heart-breakingly melodic. And Big Macintosh knew… he was home.",Passion In Cider,브레이번,애플 가족,애애애애애플루사에 오신 것을 환영합니다! {draw},"사내의 듣기 좋게 높은 목소리가 사막 공기를 갈랐다. 이 목소리는 마치 독수리의 울음처럼, 아니 독수리의 울음보다도 더욱 낭랑했다. 그제야 빅 매킨토시는… 집에 왔음을 실감했다.",사이다 속 열망
25,Doctor Whooves,Elder,Boon Companion (Swap): You may swap 2 Pony cards on the shipping grid.,"Ah, yes, well… this would be, in my expert opinion, an absolutely perfect time…"" Doctor Whooves pauses, giving his stunningly beautiful companion a knowing glance. ""To RUN!!""",My Life With The Doctor,닥터 후브즈,원로,유쾌한 길동무 {swap},"""그래, 뭐… 전문가의 소견으론, 지금은 바로…"" 닥터 후브즈는 멈칫하며 아찔할 정도로 아름다운 동료에게 눈짓으로 신호를 보냈다. ""도망칠 시간이야!!""",닥터와의 삶
26,Road Warrior Spike,"Dragon, Spike",A Different Path (New Goal): You may discard 1 active Goal and draw 1 new one to replace it.,"""Oh, Rarity…"" Spike looked down at his claws, tears welling up in his dragonfire eyes. ""Why can't you see what you're doing to Equestria? I have to believe that love can save you. I have to."" The teardrops dropped to the ground, sparkling in the last shaft of sunlight. He had to hope, but sometimes…it just looked bleak.","Of Ponies and Peril, Chapter 5",거리의 전사 스파이크,"스파이크, 드래곤",또 다른 길 {new goal},"""오, 래리티…"" 스파이크는 자신의 발톱을 내려다보며, 눈물을 글썽였다. ""네가 이퀘스트리아에 무슨 짓을 하고 있는 건지 모르겠어? 사랑이 널 구해줄 거라 믿어, 그래야만 해."" 눈물 방울이 마지막 햇살에 반짝이며 땅으로 떨어졌다. 그는 희망을 가져야 했지만, 가끔씩… 절망적이기만 했다.","포니와 위기, 5장"
27,Derpy Hooves,Derpy,You must swap Fanfic Author Twilight with any Pony card on the grid.,"""Derpy, no!""",,더피 후브즈,더피,"필드 위의 아무 포니 카드와 ""팬픽 작가 트와일라잇"" 카드를 스왑해야 합니다.","""더피, 안돼!""",
28,Granny Smith,"Apple, Elder","When I Was Your Age (Search): You may search the Ship or Pony discard pile for 1 card of your choice and put it into your hand. If it's still in your hand at the end of your turn, discard it.","Very few ponies saw past the wrinkles and doddering remarks of Granny Smith. But for those that did… they would find a heart full of powerful wit, and a burning passion. A passion… for LIFE! And maybe… love?",A Wrinkle In Time,그래니 스미스,"애플 가족, 원로",나 때는 말이야 {search},극소수의 포니들만이 그래니 스미스를 주름살과 구닥다리 잔소리 이상으로 보았다. 그리고 그런 이들만… 열정과 좋은 위트로 가득 찬 마음을 찾게 될 것이다. 인생에 대한 불타는 열정으로! 그리고 아마… 사랑도?,시간의 주름
29,Young and Hot Granny Smith,"Apple, Granny Smith","Hey There, Sailor (Swap): You may swap 2 Pony cards on the shipping grid.","Big Macintosh realized with a jolt who he was talking to, and immediately regretted more or less everything he'd said in the past few minutes. The cute filly he'd just realized was his granny only batted her eyelashes at him in a not-remotely-subtle way.",A Wrinkle In Time,젊고 핫한 그래니 스미스,"그래니 스미스, 애플 가족","여봐요, 거기 뱃사람 {swap}","자기의 대화 상대가 누구였는지 깨달은 순간, 빅 매킨토시의 몸을 타고 전율이 흘렀다. 바로 몇 분 전까지 자기가 늘어놓았던 말 한 마디 한 마디, 어느 하나 후회되지 않는 것이 없었다. 결코 은근하다고는 할 수 없는 방식으로 불편한 심사를 드러내는 저 귀여운 여자애가 바로 자신의 할머니였다니.",시간의 주름
30,Starswirl the Bearded,"Elder, Starswirl","History Lesson (Search): You may search the Ship or Pony discard pile for 1 card of your choice and put it into your hand. If it's still in your hand at the end of your turn, discard it.","""Twilight! No!"" Starswirl stood strong against the magically swirling maelstrom, gazing with intense worry at his newest protege, ""The energies are too much! You don't have to do this!"" A single tear rolled down his distinguishedly furrowed face. ""You'll be KILLED!""",Power Overwhelming,턱수염 스타스월,"스타스월, 원로",역사 수업 {search},"""트와일라잇! 그만두게!"" 스타스월이 소용돌이치는 마력 폭풍에 바싹 다가섰다. 새로 들인 제자를 향한 그의 눈빛에는 끝없는 우려가 어려 있었다. ""자네가 감당할 수 있는 마법이 아닐세! 자네가 이럴 필요는 없네!"" 척 봐도 찌푸려진 게 확실한 사내의 얼굴을 타고, 한 방울 눈물이 굴러 떨어졌다. ""자네 그러다 죽어!""",압도적인 힘으로
31,Royal Guard Shining Armor,Shining Armor,Military Draft (Swap): You may swap 2 Pony cards on the shipping grid.,"""T-twilie,"" Shining Armor stuttered, blushing furiously as he failed to meet his sister's tender gaze, ""There's… s-something I have to tell you…"" Cadance watched in horror from the bushes. It couldn't be!",The Perfect Day,왕실 근위대 샤이닝 아머,샤이닝 아머,징집 {swap},"""트, 트와일리"" 샤이닝 아머가 말을 더듬으며 여동생의 다정한 눈빛을 피하고 얼굴을 붉게 물들였다. ""그… 실은 내가 너한테 할 말이 있는데…"" 케이던스는 수풀 속에서 공포에 질린 채 지켜보았다. 이럴 순 없어!",완벽한 날
32,B.B.B.F.F. Shining Armor,Shining Armor,"Helping Little Sis (Replace): While this card is in your hand, you may discard a Pony card from the gird and play this card in its place. This power cannot be copied.",I'm surrounded by idiots! Nopony's really worthy of my exquisite genius except Shining. And maybe that foalsitter. Surely her name will come to me…. I think it starts with a C.,"Twilight's Secret Diary, Volume IV",B.B.B.F.F. 샤이닝 아머,샤이닝 아머,여동생 도와주기 {replace},죄다 바보들뿐이야! 나의 절묘한 천재성에 걸맞는 포니는 샤이닝 말고는 아무도 없어. 그리고 아마 그 보모… 그 여자 이름이 뭐였더라… '케'로 시작하는 누구였는데.,"트와일라잇의 비밀 일기, 4권"
33,Princess Cadance,"Cadance, Princess","Coronation (Replace): While this card is in your hand, you may discard a Pony card from the gird and play this card in its place. This power cannot be copied.","""Sunshine, sunshine, ladybugs awake! Clap your hooves…"" The mares hesitated as their eyes met. Twilight knew she was too old for this, but something about her old foalsitter just captivated her. Cadance cleared her throat and leaned in. ""…and do a little shake.""",Rekindling Old Friendships,케이던스 공주,"공주, 케이던스",대관식 {replace},"""반짝, 반짝, 햇살에 일어나요! 발굽 짝짝…"" 둘은 눈길이 마주치자 잠시 머뭇거렸다. 이런 짓을 하기에는 나이가 많다는 것을 트와일라잇 본인도 알고 있었지만, 자신의 옛 보모에 대한 감정이 그녀를 사로잡았다. 케이던스는 목을 가다듬고 몸을 숙였다. ""…엉덩이 살랑.""",옛 우정이 다시 피어나네
34,Best Foalsitter Cadance,"Cadance, Princess",The Other Sitter Cancelled (Swap): You may swap 2 Pony cards on the shipping grid.,"I should mention that I've now observed the foalsitter and my brother attempting to ingest one another's tongues. If this is adulthood, it's really gross!","Twilight's Secret Diary, Volume V",최고의 보모 케이던스,"공주, 케이던스",다른 보모가 취소해서 {swap},"보모와 우리 오빠가 서로의 혀를 먹으려는 모습을 똑똑히 봤으니, 이를 기록해 두어야겠다. 어른이 된다는 게 이런 거라면, 역겹기 짝이 없다!","트와일라잇의 비밀 일기, 5권"
35,Bon Bon,,Sweet Tooth (Draw): You may draw 1 card from the Ship or Pony deck.,"Bon Bon slammed the bag of sugar down on the table. ""Bats fly, monkeys climb, and filly, I make candy.""",Iron Confectioner,봉봉,,당분 중독 {draw},"봉봉이 테이블 위에 설탕 자루를 내팽개쳤다. ""박쥐는 날고, 원숭이는 나무를 오르지. 나도 마찬가지야, 꼬마야. 나는 사탕을 만든단다.""",강철의 제과술사
36,Gilda,"Griffon, Villain",Bye Losers! (New Goal): You may discard 1 active Goal and draw 1 new one to replace it.,"For the third time today, Gilda did not look at the fading picture of Rainbow Dash and she certainly did not cry.",Fading Memories,길다,"그리폰, 빌런","잘 있어라, 루저들아! {new goal}","길다가 희미해져 가는 레인보우 대쉬의 사진을 쳐다보지 않은 것은 오늘로 세 번째였고, 그녀는 정말로 울지 않았다.",흐려지는 기억
37,Berry Punch,,"Black Out (Replace): While this card is in your hand, you may discard a Pony card from the gird and play this card in its place. This power cannot be copied.","Twilight backed up against the wall a little harder, as though it might grow a door. ""Mmmaybe I should try again when you're, um, less indisposed?"" Berry only chuckled. ""Filly, I do EVERYTHING indisposed.""",Coyote Ugly,베리 펀치,,끊긴 필름 {replace},"트와일라잇은 마치 벽에서 문이라도 밀어 열려는 것처럼 더 세게 기대었다. ""그러니까아아, 그쪽이, 어, 술 좀 깨고 나면, 그때 다시 하는 게 낫겠는데?"" 베리 펀치는 실실대며 웃을 뿐이었다. ""얘도 참. 난 술 깨본 적이 없어""'",코요테 어글리
38,Crackle,Dragon,"Convincing Disguise (Replace): While this card is in your hand, you may discard a Pony card from the gird and play this card in its place. This power cannot be copied.","Spike stood at the door, slackjawed for a few moments. The… thing… at the door gurgled pleasently and tilted its head expectantly. He turned. ""Um, Twilight, I'm hoping the door is for you…""",What About Crackle?,크래클,드래곤,그럴듯한 위장 {replace},"스파이크는 문간에 서서 잠시 입을 떡 벌린 채로 있었다. 문 밖의 그…것은 기쁘게 그르릉거렸고, 기대하는 듯이 머리를 내밀었다. 스파이크가 몸을 돌리며 말했다. ""어, 트와일라잇, 아무래도 네가 나서야 할 것 같은데…""",크래클은 어떤가요?
39,Mahou Shoujo Derpy,Derpy,"Magical Girl Wand Activation! … oops (Special): If there are any cards in the Pony discard pile, shuffle them and swap them with the Pony deck. Do the same for the Ship deck. Then discard all the active Goals cards and draw to replace them.","With the power of the magical wand though, she wasn't just a clutzy mailpony with an eye problem! She was SOMEPONY!","Cherry Blossoms Underhoof, Chapter 5",마법 소녀 더피,더피,"문 크리스탈 파워! ...어랏 (특수): 버린 포니 카드 더미가 있으면, 그 카드들을 섞은 뒤 포니 카드 덱과 바꿉니다. 커플링 카드도 동일하게 합니다. 그다음, 현재 진행 중인 목표 카드를 모두 버리고 대체할 새 목표 카드를 뽑아 대체합니다.","마법 지팡이의 능력을 통해, 더피 후브즈는 사시눈의 서투른 집배원 나부랭이 이상이 되었다. 이제 그녀는 정말 특별한 존재였다!","벚꽃 나무 아래서, 5장"
40,Mr. Cake,,On The House (Draw): You may draw 1 card from the Ship or Pony deck.,"They were a blur, a single eight-hoofed blur in the kitchen. It was beautiful, it was terrible. Pinkie and Twilight watched in awe.",A Day At Sugar Cube Corner,케이크 아저씨,,무료 서비스 {draw},그 둘은 발이 여덟개 달린 하나의 흐릿한 형채로 주방에 존재했다. 그것은 아름다우면서도 동시에 공포스러웠다. 핑키와 트와일라잇은 경외감을 느끼며 바라보았다.,슈가 큐브 코너에서에서 보낸 하루
41,Mrs. Cake,,Baker's Dozen (Draw): You may draw 1 card from the Ship or Pony deck.,"Sugar vanished into mixing bowls. Mixing bowls emptied into moulds. Ovens latched and unlatched. Cake boxes filled. The deadline loomed, but the dance continued.",A Day At Sugar Cube Corner,케이크 아줌마,,한 개는 덤 {draw},"흰 설탕이 믹싱 볼에 쏟아졌다. 믹싱 볼의 내용물은 빵틀에 담겼다. 오븐이 열리고 닫혔다. 케이크 상자가 채워져 갔다. 기한이 다가오고 있었지만, 춤은 계속되었다.",슈가 큐브 코너에서에서 보낸 하루
